Building ID	Market	Street Address	City	State	Postal Code	Latitude	Longitude	On Zayo Network Status	Net Classification	Type	Network Proximity	 Estimated Build Cost 
Bldg-237878	Dallas	1309 Holly Dr	Richardson	TX	75080	32.956314	-96.761633	Not on Zayo Network	Fiber Only	Middle School	7132.19	 $190,304.75 
Bldg-237873	Dallas	2120 E Prairie Creek Dr	Richardson	TX	75080	32.97822	-96.721161	Not on Zayo Network	Fiber Only	Elementary School	1062.96	 $38,574.00 
Bldg-237879	Dallas	550 Park Bend Dr	Richardson	TX	75081	32.93237	-96.725101	Not on Zayo Network	Fiber Only	Elementary School	3256.04	 $93,401.00 
Bldg-237874	Dallas	1250 W Belt Line Rd	Richardson	TX	75080	32.95398	-96.762311	Not on Zayo Network	Fiber Only	Elementary School	6290.44	 $169,261.00 
Bldg-237880	Dallas	1801 E Spring Valley Rd	Richardson	TX	75081	32.9394	-96.690161	Not on Zayo Network	Fiber Only	Elementary School	5038.05	 $137,951.25 
Bldg-237875	Dallas	101 N Floyd Rd	Richardson	TX	75080	32.95172	-96.745271	Not on Zayo Network	Fiber Only	Elementary School	3444.9	 $98,122.50 
Bldg-237881	Dallas	1900 E Collins Blvd	Richardson	TX	75081	32.96692	-96.689881	Not on Zayo Network	Fiber Only	Elementary School	4088.41	 $114,210.25 
Bldg-237876	Dallas	1820 N Floyd Rd	Richardson	TX	75080	32.97531	-96.741891	Not on Zayo Network	Fiber Only	Middle School	4738.67	 $130,466.75 
Bldg-237882	Dallas	5940 Hollis Ave	Dallas	TX	75227	32.7672	-96.720521	Not on Zayo Network	Fiber Only	Elementary School	16689.82	 $429,245.50 
Bldg-237883	Dallas	337 Pleasant Vista Dr	Dallas	TX	75217	32.71704	-96.643131	Not on Zayo Network	Fiber Only	Elementary School	864.17	 $33,604.25 
Bldg-237887	Dallas	8410 San Leandro Dr	Dallas	TX	75218	32.81345	-96.709431	Not on Zayo Network	Fiber Only	Elementary School	17344.41	 $445,610.25 
Bldg-237888	Dallas	4001 Capitol Ave	Dallas	TX	75204	32.80823	-96.788451	Not on Zayo Network	Fiber Only	Middle School	1060.3	 $38,507.50 
Bldg-237884	Dallas	3030 Stag Rd	Dallas	TX	75241	32.69185	-96.764891	Not on Zayo Network	Fiber Only	High School	2013.78	 $62,344.50 
Bldg-237889	Dallas	3531 N Westmoreland Rd	Dallas	TX	75212	32.78504	-96.875381	Not on Zayo Network	Fiber Only	Elementary School	515.3	 $24,882.50 
Bldg-237885	Dallas	5505 S Polk St	Dallas	TX	75232	32.67845	-96.842381	Not on Zayo Network	Fiber Only	Elementary School	30526.87	 $775,171.75 
Bldg-237890	Dallas	5201 Celestial Rd	Dallas	TX	75254	32.94775	-96.817901	Not on Zayo Network	Fiber Only	Elementary School	1772.79	 $56,319.75 
Bldg-237891	Dallas	8915 Greenmound Ave	Dallas	TX	75227	32.75192	-96.668691	Not on Zayo Network	Fiber Only	Elementary School	10589.87	 $276,746.75 
Bldg-237886	Dallas	2020 Mouser Ln	Dallas	TX	75203	32.73745	-96.792951	Not on Zayo Network	Fiber Only	Elementary School	656.43	 $28,410.75 
Bldg-237892	Dallas	3901 Meredith Ave	Dallas	TX	75211	32.7429	-96.884551	Not on Zayo Network	Fiber Only	Elementary School	2401.18	 $72,029.50 
Bldg-237893	Dallas	1300 N Justin Ave	Dallas	TX	75211	32.75914	-96.909231	Not on Zayo Network	Fiber Only	Elementary School	3101.7	 $89,542.50 
Bldg-237895	Dallas	3200 Kinkaid Dr	Dallas	TX	75220	32.87645	-96.869191	Not on Zayo Network	Fiber Only	Elementary School	6241.6	 $168,040.00 
Bldg-237900	Dallas	3313 S Beckley Ave	Dallas	TX	75224	32.704257	-96.823023	Not on Zayo Network	Fiber Only	Middle School	19420.07	 $497,501.75 
Bldg-237894	Dallas	5606 Wayside Dr	Dallas	TX	75235	32.814915	-96.852026	Not on Zayo Network	Fiber Only	Elementary School	1271.14	 $43,778.50 
Bldg-237901	Dallas	2444 Telegraph Ave	Dallas	TX	75228	32.80084	-96.706931	Not on Zayo Network	Fiber Only	Elementary School	1270.37	 $43,759.25 
Bldg-237896	Dallas	133 N Saint Augustine Dr	Dallas	TX	75217	32.71302	-96.658181	Not on Zayo Network	Fiber Only	Elementary School	2352.72	 $70,818.00 
Bldg-237902	Dallas	4200 McKinney Ave	Dallas	TX	75205	32.81637	-96.790151	Not on Zayo Network	Fiber Only	Elementary School	170.77	 $22,246.20 
Bldg-237897	Dallas	3033 Merrell Rd	Dallas	TX	75229	32.88872	-96.874521	Not on Zayo Network	Fiber Only	Elementary School	3497.96	 $99,449.00 
Bldg-237903	Dallas	6920 Meadow Rd	Dallas	TX	75230	32.88553	-96.784541	Not on Zayo Network	Fiber Only	Middle School	4221.95	 $117,548.75 
Bldg-237898	Dallas	4730 S Lancaster Rd	Dallas	TX	75216	32.6918	-96.790061	Not on Zayo Network	Fiber Only	High School	20319.69	 $519,992.25 
