label,count
Others,26563.360000000008
Professional Services,300182.1499999997
IT Infrastructure,392828.77
Government,63722.07
Media/Content,3600.4100000000003
Telecommunications,15285467.109999986
Energy & Manufacturing,58285.219999999994
Transportation & Logistics,9327.369999999999
Research & Education,27693.190000000002
Other Industry,240831.16000000035
Finance,292420.8100000003
Energy,1019.2
Manufacturing,5616.739999999999
Media & Content,952592.5399999996
Healthcare,91596.73999999996
